product_id,title,brand,category,tags,price
36,Zen Headphone 36,Zen,Headphone,winter slim running,37.25
37,Peak PhoneCase 37,Peak,PhoneCase,slim winter classic,260.41
38,Acme Shoe 38,Acme,Shoe,sport slim noise-cancel,242.07
39,Acme Tshirt 39,Acme,Tshirt,running winter travel,140.0
40,Peak Tshirt 40,Peak,Tshirt,wireless classic running,263.5
41,Acme Headphone 41,Acme,Headphone,winter travel leather,24.57
42,Acme Shoe 42,Acme,Shoe,winter running casual,127.76
43,Peak Tshirt 43,Peak,Tshirt,slim sport casual,119.8
44,Peak PhoneCase 44,Peak,PhoneCase,winter classic wireless,132.57
45,Peak Tshirt 45,Peak,Tshirt,running wireless winter,290.83
46,Acme PhoneCase 46,Acme,PhoneCase,sport winter office,148.17
47,Zen Shoe 47,Zen,Shoe,travel leather casual,29.77
48,Acme Tshirt 48,Acme,Tshirt,slim leather office,81.3
49,Acme Backpack 49,Acme,Backpack,leather slim gaming,179.16
50,Nova PhoneCase 50,Nova,PhoneCase,running gaming noise-cancel,79.12
51,Peak Tshirt 51,Peak,Tshirt,gaming winter wireless,142.5
52,Acme Shoe 52,Acme,Shoe,classic office summer,298.77
53,Acme Backpack 53,Acme,Backpack,running travel wireless,48.31
54,Nova Shoe 54,Nova,Shoe,running noise-cancel wireless,55.65
55,Nova Backpack 55,Nova,Backpack,winter gaming travel,12.17
56,Nova Shoe 56,Nova,Shoe,casual wireless leather,267.92
57,Zen PhoneCase 57,Zen,PhoneCase,wireless office running,218.01
58,Zen PhoneCase 58,Zen,PhoneCase,travel classic wireless,272.45
59,Acme Shoe 59,Acme,Shoe,gaming slim wireless,22.69
60,Nova Tshirt 60,Nova,Tshirt,gaming wireless casual,224.86
61,Peak Backpack 61,Peak,Backpack,sport leather summer,283.96
62,Zen Backpack 62,Zen,Backpack,sport noise-cancel office,170.13
63,Peak Tshirt 63,Peak,Tshirt,sport wireless noise-cancel,270.6
64,Acme PhoneCase 64,Acme,PhoneCase,running gaming winter,203.31
65,Nova Backpack 65,Nova,Backpack,slim office casual,278.37
66,Zen Tshirt 66,Zen,Tshirt,winter casual slim,17.09
67,Nova Headphone 67,Nova,Headphone,winter gaming running,87.27
68,Acme Headphone 68,Acme,Headphone,sport classic running,67.78
69,Peak PhoneCase 69,Peak,PhoneCase,wireless running summer,16.76
70,Zen Headphone 70,Zen,Headphone,noise-cancel wireless leather,290.3
71,Nova PhoneCase 71,Nova,PhoneCase,gaming travel slim,206.96
72,Nova Shoe 72,Nova,Shoe,leather wireless casual,178.27
73,Nova Shoe 73,Nova,Shoe,leather office slim,110.15
74,Nova Headphone 74,Nova,Headphone,office travel leather,121.61
75,Zen PhoneCase 75,Zen,PhoneCase,sport summer slim,10.39
76,Zen PhoneCase 76,Zen,PhoneCase,slim leather gaming,276.92
77,Nova Shoe 77,Nova,Shoe,summer wireless travel,99.59
78,Peak PhoneCase 78,Peak,PhoneCase,slim summer wireless,170.68
79,Zen Headphone 79,Zen,Headphone,gaming slim winter,226.86
80,Zen Backpack 80,Zen,Backpack,office wireless slim,168.8
81,Acme PhoneCase 81,Acme,PhoneCase,wireless running slim,237.77
82,Nova Headphone 82,Nova,Headphone,classic winter gaming,71.87
83,Peak Tshirt 83,Peak,Tshirt,gaming leather wireless,159.38
84,Nova Shoe 84,Nova,Shoe,winter running gaming,99.92
85,Zen Tshirt 85,Zen,Tshirt,sport winter running,295.24
86,Acme Headphone 86,Acme,Headphone,slim gaming office,66.29
87,Peak Headphone 87,Peak,Headphone,slim running casual,200.16
88,Acme Shoe 88,Acme,Shoe,winter slim running,60.91
89,Peak Shoe 89,Peak,Shoe,travel running leather,142.27
90,Peak Backpack 90,Peak,Backpack,travel office noise-cancel,285.41
91,Peak Backpack 91,Peak,Backpack,summer travel slim,250.77
92,Peak Tshirt 92,Peak,Tshirt,summer classic winter,85.07
93,Zen PhoneCase 93,Zen,PhoneCase,winter travel classic,191.66
94,Nova Headphone 94,Nova,Headphone,leather summer wireless,77.9
95,Nova PhoneCase 95,Nova,PhoneCase,travel leather casual,53.64
96,Peak Tshirt 96,Peak,Tshirt,summer running leather,130.21
97,Nova Backpack 97,Nova,Backpack,classic slim sport,69.88
98,Peak Headphone 98,Peak,Headphone,winter office sport,258.35
99,Peak Headphone 99,Peak,Headphone,sport noise-cancel wireless,228.41
100,Peak Backpack 100,Peak,Backpack,summer winter travel,241.86
101,Zen Headphone 101,Zen,Headphone,running wireless slim,150.74
102,Peak PhoneCase 102,Peak,PhoneCase,gaming winter slim,219.91
103,Peak Tshirt 103,Peak,Tshirt,office travel sport,272.91
104,Acme Shoe 104,Acme,Shoe,gaming slim casual,261.29
105,Zen Shoe 105,Zen,Shoe,wireless slim noise-cancel,71.28
106,Nova PhoneCase 106,Nova,PhoneCase,winter slim wireless,227.98
107,Peak PhoneCase 107,Peak,PhoneCase,leather classic sport,227.12
108,Acme PhoneCase 108,Acme,PhoneCase,running gaming leather,236.46
109,Acme Shoe 109,Acme,Shoe,running winter sport,190.09
110,Zen Tshirt 110,Zen,Tshirt,classic gaming leather,173.45
111,Zen Headphone 111,Zen,Headphone,summer wireless noise-cancel,58.56
112,Acme Tshirt 112,Acme,Tshirt,wireless leather office,17.35
113,Nova Backpack 113,Nova,Backpack,gaming slim summer,282.93
114,Zen Shoe 114,Zen,Shoe,office summer gaming,80.33
115,Nova Backpack 115,Nova,Backpack,winter leather office,236.86
116,Nova Backpack 116,Nova,Backpack,slim gaming noise-cancel,29.9
117,Nova Shoe 117,Nova,Shoe,slim classic leather,135.62
118,Nova Headphone 118,Nova,Headphone,summer casual slim,60.98
119,Nova Backpack 119,Nova,Backpack,winter travel classic,144.71
120,Nova PhoneCase 120,Nova,PhoneCase,running leather wireless,265.57
121,Zen Headphone 121,Zen,Headphone,office winter gaming,119.81
122,Acme Headphone 122,Acme,Headphone,noise-cancel casual classic,71.41
123,Nova PhoneCase 123,Nova,PhoneCase,wireless office winter,171.08
124,Zen Shoe 124,Zen,Shoe,running summer slim,151.59
125,Zen Headphone 125,Zen,Headphone,gaming summer classic,139.87
126,Acme Shoe 126,Acme,Shoe,wireless running slim,210.52
127,Nova Backpack 127,Nova,Backpack,noise-cancel classic travel,163.87
128,Peak Backpack 128,Peak,Backpack,noise-cancel winter classic,88.47
129,Nova Tshirt 129,Nova,Tshirt,leather summer running,101.41
130,Zen Tshirt 130,Zen,Tshirt,running summer classic,90.08
131,Nova Shoe 131,Nova,Shoe,running wireless winter,114.56
132,Nova Shoe 132,Nova,Shoe,summer travel casual,89.45
133,Acme Backpack 133,Acme,Backpack,wireless summer casual,194.88
134,Peak Shoe 134,Peak,Shoe,sport office wireless,146.03
135,Peak PhoneCase 135,Peak,PhoneCase,casual sport wireless,282.81
136,Peak Shoe 136,Peak,Shoe,leather slim classic,31.38
137,Acme Tshirt 137,Acme,Tshirt,casual office wireless,34.6
138,Zen Shoe 138,Zen,Shoe,travel slim office,182.78
139,Zen Backpack 139,Zen,Backpack,slim classic summer,96.13
140,Peak PhoneCase 140,Peak,PhoneCase,office winter sport,186.69
141,Acme Tshirt 141,Acme,Tshirt,gaming running wireless,201.42
142,Zen Tshirt 142,Zen,Tshirt,casual travel leather,55.29
143,Peak Headphone 143,Peak,Headphone,summer office classic,94.37
144,Zen PhoneCase 144,Zen,PhoneCase,summer wireless classic,30.54
145,Zen PhoneCase 145,Zen,PhoneCase,winter gaming office,201.64
146,Zen Headphone 146,Zen,Headphone,leather travel running,197.71
147,Nova Tshirt 147,Nova,Tshirt,leather sport casual,239.76
148,Nova Headphone 148,Nova,Headphone,leather classic wireless,212.82
149,Nova Backpack 149,Nova,Backpack,travel classic summer,33.23
150,Acme Headphone 150,Acme,Headphone,summer noise-cancel office,82.51
151,Acme Tshirt 151,Acme,Tshirt,gaming office summer,285.63
152,Nova Backpack 152,Nova,Backpack,sport casual classic,160.4
153,Peak PhoneCase 153,Peak,PhoneCase,casual office slim,193.99
154,Peak Shoe 154,Peak,Shoe,classic noise-cancel slim,106.56
155,Acme Tshirt 155,Acme,Tshirt,noise-cancel slim classic,93.48
156,Peak Backpack 156,Peak,Backpack,sport classic leather,101.11
157,Nova Shoe 157,Nova,Shoe,winter slim travel,249.13
158,Acme Backpack 158,Acme,Backpack,classic slim sport,64.3
159,Nova Backpack 159,Nova,Backpack,winter classic gaming,138.09
160,Acme Tshirt 160,Acme,Tshirt,wireless travel casual,278.93
161,Peak Headphone 161,Peak,Headphone,leather sport gaming,186.47
162,Zen Tshirt 162,Zen,Tshirt,wireless travel sport,170.05
163,Acme Tshirt 163,Acme,Tshirt,leather classic winter,197.74
164,Zen Headphone 164,Zen,Headphone,summer wireless travel,214.47
165,Peak Headphone 165,Peak,Headphone,classic running winter,169.77
166,Peak Tshirt 166,Peak,Tshirt,office travel casual,260.47
167,Nova Headphone 167,Nova,Headphone,noise-cancel travel wireless,247.86
168,Nova PhoneCase 168,Nova,PhoneCase,office winter gaming,151.9
169,Zen Headphone 169,Zen,Headphone,travel classic noise-cancel,106.31
170,Peak Headphone 170,Peak,Headphone,noise-cancel running summer,175.72
171,Zen Headphone 171,Zen,Headphone,sport noise-cancel classic,214.42
172,Peak Headphone 172,Peak,Headphone,gaming winter casual,153.55
173,Acme Tshirt 173,Acme,Tshirt,travel office noise-cancel,262.11
174,Peak Shoe 174,Peak,Shoe,travel classic sport,219.41
175,Peak Tshirt 175,Peak,Tshirt,leather classic wireless,108.08
176,Peak Shoe 176,Peak,Shoe,noise-cancel gaming travel,120.1
177,Nova Headphone 177,Nova,Headphone,travel sport office,29.74
178,Nova Tshirt 178,Nova,Tshirt,summer leather slim,293.62
179,Acme Headphone 179,Acme,Headphone,casual summer wireless,271.89
180,Acme PhoneCase 180,Acme,PhoneCase,winter sport wireless,113.85
181,Peak Tshirt 181,Peak,Tshirt,running travel slim,174.02
182,Zen Tshirt 182,Zen,Tshirt,casual leather office,262.44
183,Zen Headphone 183,Zen,Headphone,office casual running,143.63
184,Nova Headphone 184,Nova,Headphone,wireless gaming sport,270.58
185,Peak PhoneCase 185,Peak,PhoneCase,gaming travel casual,31.32
186,Nova Backpack 186,Nova,Backpack,wireless gaming slim,210.09
187,Peak PhoneCase 187,Peak,PhoneCase,running slim classic,40.83
188,Peak Backpack 188,Peak,Backpack,noise-cancel office wireless,297.78
189,Nova Shoe 189,Nova,Shoe,gaming slim wireless,12.25
190,Acme Backpack 190,Acme,Backpack,summer classic wireless,234.86
191,Zen Backpack 191,Zen,Backpack,winter noise-cancel running,194.52
192,Nova Tshirt 192,Nova,Tshirt,gaming leather winter,197.34
193,Nova Headphone 193,Nova,Headphone,sport office noise-cancel,222.28
194,Acme PhoneCase 194,Acme,PhoneCase,noise-cancel summer slim,60.84
195,Zen Backpack 195,Zen,Backpack,noise-cancel travel summer,274.81
196,Zen PhoneCase 196,Zen,PhoneCase,classic wireless noise-cancel,243.13
197,Peak Shoe 197,Peak,Shoe,casual running gaming,219.92
198,Peak Backpack 198,Peak,Backpack,noise-cancel leather slim,13.94
199,Acme Headphone 199,Acme,Headphone,noise-cancel gaming summer,85.93
200,Peak PhoneCase 200,Peak,PhoneCase,leather gaming running,146.63
